Parameter,Layer,Index,Value
Weight of Layer 1,Weight,606,0.0
Weight of Layer 1,Weight,607,0.0
Weight of Layer 1,Weight,608,0.0
Weight of Layer 1,Weight,609,0.0
Weight of Layer 1,Weight,610,0.0
Weight of Layer 1,Weight,611,0.0
Weight of Layer 1,Weight,612,-0.0
Weight of Layer 1,Weight,613,-0.0
Weight of Layer 1,Weight,614,-0.0
Weight of Layer 1,Weight,615,-0.0
Weight of Layer 1,Weight,616,-0.0
Weight of Layer 1,Weight,617,0.0
Weight of Layer 1,Weight,618,0.0
Weight of Layer 1,Weight,619,0.0
Weight of Layer 1,Weight,620,0.0
Weight of Layer 1,Weight,621,0.0
Weight of Layer 1,Weight,622,0.0
Weight of Layer 1,Weight,623,0.0
Weight of Layer 1,Weight,624,0.0
Weight of Layer 1,Weight,625,0.0
Weight of Layer 1,Weight,626,0.0
Weight of Layer 1,Weight,627,0.0
Weight of Layer 1,Weight,628,0.0
Weight of Layer 1,Weight,629,0.0
Weight of Layer 1,Weight,630,0.0
Weight of Layer 1,Weight,631,0.0
Weight of Layer 1,Weight,632,0.0
Weight of Layer 1,Weight,633,0.0
Weight of Layer 1,Weight,634,0.0
Weight of Layer 1,Weight,635,0.0
Weight of Layer 1,Weight,636,0.0
Weight of Layer 1,Weight,637,0.0
Weight of Layer 1,Weight,638,0.0
Weight of Layer 1,Weight,639,-0.0
Weight of Layer 1,Weight,640,-0.0
Weight of Layer 1,Weight,641,-0.0
Weight of Layer 1,Weight,642,-0.0
Weight of Layer 1,Weight,643,0.0
Weight of Layer 1,Weight,644,-0.0
Weight of Layer 1,Weight,645,-0.0
Weight of Layer 1,Weight,646,-0.0
Weight of Layer 1,Weight,647,0.0
Weight of Layer 1,Weight,648,0.0
Weight of Layer 1,Weight,649,0.0
Weight of Layer 1,Weight,650,0.0
Weight of Layer 1,Weight,651,0.0
Weight of Layer 1,Weight,652,0.0
Weight of Layer 1,Weight,653,0.0
Weight of Layer 1,Weight,654,0.0
Weight of Layer 1,Weight,655,0.0
Weight of Layer 1,Weight,656,0.0
Weight of Layer 1,Weight,657,0.0
Weight of Layer 1,Weight,658,0.0
Weight of Layer 1,Weight,659,0.0
Weight of Layer 1,Weight,660,0.0
Weight of Layer 1,Weight,661,0.0
Weight of Layer 1,Weight,662,0.0
Weight of Layer 1,Weight,663,0.0
Weight of Layer 1,Weight,664,0.0
Weight of Layer 1,Weight,665,0.0
Weight of Layer 1,Weight,666,-0.0
Weight of Layer 1,Weight,667,-0.0
Weight of Layer 1,Weight,668,-0.0
Weight of Layer 1,Weight,669,-0.0
